,Date,Time,Open,High,Low,Close,ma,ema
76,21/01/2019,17:07,1.13657,1.1366,1.13644,1.13657,1.1538232467532465,1.1528440259740262
77,30/01/2019,17:13,1.14829,1.14845,1.14812,1.14812,1.1537543589743586,1.1534841025641025
78,10/02/2019,17:14,1.13157,1.13157,1.1315,1.13151,1.1534735443037971,1.152732784810127
79,19/02/2019,17:17,1.13422,1.13422,1.13417,1.13417,1.1532328749999996,1.15293625
80,28/02/2019,17:22,1.13708,1.13722,1.13704,1.13718,1.1530351851851848,1.152275679012346
81,11/03/2019,16:24,1.12449,1.12468,1.12449,1.12459,1.152689390243902,1.1525529268292682
82,20/03/2019,16:27,1.14144,1.14146,1.14144,1.14145,1.1525540963855416,1.1516107228915666
83,31/03/2019,17:33,1.12264,1.12264,1.12263,1.12264,1.1521979761904757,1.1522888095238093
84,09/04/2019,18:33,1.12638,1.12642,1.12637,1.12642,1.1518947058823525,1.1509290588235297
85,18/04/2019,18:37,1.12341,1.12342,1.12341,1.12342,1.1515636046511624,1.1516872093023254
86,29/04/2019,18:46,1.11836,1.11842,1.11835,1.11841,1.1511826436781605,1.150296666666667
87,08/05/2019,18:48,1.11966,1.11967,1.11961,1.11965,1.150824545454545,1.1509311363636363
88,19/05/2019,18:49,1.11623,1.11625,1.11621,1.11622,1.1504360674157297,1.1496084269662923
89,29/05/2019,06:57,1.1155,1.11557,1.11548,1.11557,1.1500486666666663,1.1501604444444444
90,07/06/2019,07:00,1.12627,1.12632,1.12621,1.12632,1.1497879120879118,1.1488603296703297
91,18/06/2019,07:05,1.11942,1.11967,1.1194,1.11966,1.1494605434782605,1.1496421739130436
92,27/06/2019,07:08,1.13767,1.13771,1.13759,1.13761,1.1493341935483867,1.1482325806451614
93,08/07/2019,07:16,1.12175,1.12188,1.12172,1.12182,1.1490421276595741,1.1493882978723404
94,17/07/2019,07:16,1.12213,1.12217,1.1221,1.1221,1.1487592631578942,1.1476777894736845
95,26/07/2019,07:21,1.11324,1.11338,1.11324,1.11337,1.1483907291666664,1.1488212500000001
96,06/08/2019,07:26,1.12021,1.12026,1.12015,1.12019,1.1481007216494843,1.1469706185567012
97,15/08/2019,07:29,1.11571,1.11575,1.115,1.11526,1.1477706122448976,1.148238367346939
98,26/08/2019,07:34,1.11158,1.1116,1.11152,1.11157,1.1474052525252523,1.1463398989898992
99,04/09/2019,08:00,1.10149,1.10175,1.10143,1.10156,1.1469486999999996,1.1475056000000001
100,13/09/2019,08:08,1.11012,1.11013,1.10988,1.10995,1.1465841584158412,1.1454569306930695
101,24/09/2019,08:21,1.10015,1.10018,1.10014,1.10016,1.1461292156862741,1.1467727450980392
102,03/10/2019,08:25,1.09523,1.09528,1.0952,1.09528,1.1456355339805822,1.1445777669902915
103,14/10/2019,08:32,1.103,1.10307,1.10297,1.10302,1.1452262499999997,1.1457825
104,23/10/2019,08:38,1.1119,1.11209,1.11189,1.11209,1.1449106666666662,1.143787142857143
105,01/11/2019,06:45,1.11567,1.11574,1.11563,1.11574,1.1446354716981129,1.14514679245283
106,12/11/2019,07:57,1.10179,1.10182,1.10172,1.10179,1.1442353271028034,1.1432628971962617
107,21/11/2019,08:08,1.10931,1.10937,1.10916,1.10931,1.1439124999999997,1.1443444444444444
108,02/12/2019,08:20,1.10242,1.10247,1.10238,1.10241,1.1435322935779813,1.142641009174312
109,11/12/2019,08:29,1.10818,1.10818,1.10781,1.10786,1.1432109090909088,1.143583090909091
110,20/12/2019,08:33,1.10886,1.10886,1.10858,1.10864,1.1429014414414411,1.14202009009009
111,01/01/2020,17:00,1.1212,1.12121,1.12117,1.1212,1.1427077678571425,1.1429630357142857
112,12/01/2020,17:11,1.112,1.112,1.11199,1.11199,1.1424360176991148,1.1416517699115043
113,21/01/2020,17:21,1.1083,1.10834,1.1083,1.10831,1.1421369298245612,1.1424198245614035
114,30/01/2020,17:26,1.10344,1.10344,1.10343,1.10343,1.1418004347826085,1.1410724347826084
115,10/02/2020,18:05,1.09119,1.09122,1.09119,1.09121,1.141364396551724,1.1417477586206894
116,19/02/2020,18:55,1.08104,1.08104,1.08103,1.08103,1.1408488034188031,1.1402202564102561
117,01/03/2020,19:02,1.105,1.10501,1.10483,1.10483,1.1405450847457623,1.1407188135593218
118,10/03/2020,18:14,1.13059,1.13064,1.13044,1.13046,1.1404618487394955,1.1396284873949576
119,19/03/2020,18:14,1.06659,1.06661,1.06649,1.06654,1.1398464166666664,1.1405508333333332
120,30/03/2020,20:36,1.10398,1.10427,1.10397,1.10407,1.1395523966942147,1.1384215702479337
121,08/04/2020,20:40,1.08674,1.087,1.08673,1.08688,1.139121639344262,1.1399560655737704
122,19/04/2020,21:16,1.08608,1.08631,1.08598,1.08631,1.1386922764227638,1.1375854471544715
123,28/04/2020,21:38,1.08474,1.08488,1.08474,1.08482,1.1382583064516125,1.1390908064516128
124,07/05/2020,22:07,1.08461,1.08466,1.08456,1.08465,1.1378295199999997,1.1367421599999998
125,18/05/2020,22:32,1.09105,1.09105,1.09101,1.09102,1.1374582539682536,1.1382268253968253
126,27/05/2020,22:55,1.10167,1.10178,1.10166,1.10177,1.1371773228346453,1.1360225984251966
127,07/06/2020,23:08,1.12912,1.12914,1.12908,1.12912,1.1371145312499997,1.13765734375
128,16/06/2020,23:42,1.12645,1.12648,1.12645,1.12646,1.1370320930232554,1.135915891472868
129,26/06/2020,00:17,1.12235,1.12248,1.12233,1.12248,1.1369201538461535,1.1374853846153845
130,07/07/2020,01:05,1.1314,1.13151,1.13137,1.13147,1.1368788549618316,1.1357107633587784
131,16/07/2020,01:50,1.14013,1.14014,1.14011,1.14012,1.1369035606060602,1.1373948484848484
132,27/07/2020,02:30,1.17074,1.17101,1.1707,1.17087,1.1371599999999995,1.1357773684210524
133,05/08/2020,03:20,1.18261,1.18263,1.18236,1.18262,1.1374993283582084,1.137896567164179
134,14/08/2020,04:13,1.18054,1.18054,1.18041,1.18046,1.1378181481481477,1.1364714814814811
135,25/08/2020,05:02,1.18235,1.18243,1.18233,1.18238,1.1381461764705878,1.1385236764705882
136,03/09/2020,06:27,1.1824,1.18259,1.1824,1.18256,1.1384705839416054,1.1371424087591238
137,14/09/2020,07:52,1.18672,1.18694,1.18672,1.18687,1.1388218115942024,1.1391623188405797
138,23/09/2020,09:17,1.16904,1.16906,1.16884,1.16893,1.1390393525179852,1.137858920863309
