Date,Time,Open,High,Low,Close
03/15/2013,17:00,1.30109,1.31064,1.30097,1.30752
03/16/2013,17:00,1.30109,1.31064,1.30097,1.30752
03/17/2013,17:00,1.29074,1.29322,1.28875,1.29105
03/18/2013,17:00,1.29106,1.2995,1.28812,1.2953
03/19/2013,17:00,1.29532,1.2969,1.28431,1.2874
03/20/2013,17:00,1.28743,1.29776,1.28683,1.29481
03/21/2013,17:00,1.29475,1.29495,1.28789,1.29143
03/22/2013,17:00,1.29142,1.30092,1.28875,1.29884
03/23/2013,17:00,1.29142,1.30092,1.28875,1.29884
03/24/2013,17:00,1.29473,1.30472,1.29436,1.30288
03/25/2013,17:00,1.30295,1.30473,1.28292,1.28668
03/26/2013,17:00,1.28666,1.2889,1.28275,1.28415
03/27/2013,17:00,1.28416,1.2854,1.27505,1.27783
03/28/2013,17:00,1.27782,1.28437,1.27545,1.28268
03/29/2013,17:00,1.28269,1.28316,1.27926,1.28196
03/30/2013,17:00,1.28269,1.28316,1.27926,1.28196
03/31/2013,17:00,1.28046,1.2813,1.27707,1.27811
04/01/2013,17:00,1.27813,1.28769,1.27744,1.28672
04/02/2013,17:00,1.28677,1.28724,1.27947,1.28053
04/03/2013,17:00,1.28052,1.28637,1.2789,1.28475
04/04/2013,17:00,1.28477,1.29481,1.2745,1.29272
04/05/2013,17:00,1.29275,1.30392,1.28999,1.29895
04/06/2013,17:00,1.29275,1.30392,1.28999,1.29895
04/07/2013,17:00,1.2973,1.30056,1.29721,1.29877
04/08/2013,17:00,1.29876,1.30673,1.29676,1.30446
04/09/2013,17:00,1.30444,1.31024,1.30043,1.30893
04/10/2013,17:00,1.30892,1.31212,1.3043,1.30582
04/11/2013,17:00,1.30585,1.31375,1.30566,1.31126
04/12/2013,17:00,1.31125,1.31259,1.30361,1.31117
04/13/2013,17:00,1.31125,1.31259,1.30361,1.31117
04/14/2013,17:00,1.31147,1.31148,1.30643,1.30764
04/15/2013,17:00,1.30765,1.31065,1.3021,1.30629
04/16/2013,17:00,1.30627,1.32008,1.30274,1.31728
04/17/2013,17:00,1.31727,1.31989,1.30008,1.30544
04/18/2013,17:00,1.30546,1.30955,1.30254,1.30649
04/19/2013,17:00,1.30648,1.31281,1.30466,1.30509
04/20/2013,17:00,1.30648,1.31281,1.30466,1.30509
04/21/2013,17:00,1.30769,1.30835,1.30527,1.30753
04/22/2013,17:00,1.30752,1.30754,1.30145,1.30334
04/23/2013,17:00,1.30337,1.30833,1.29722,1.29986
04/24/2013,17:00,1.29987,1.30607,1.29538,1.30452
04/25/2013,17:00,1.30451,1.30926,1.2988,1.30341
04/26/2013,17:00,1.30344,1.30439,1.29901,1.30293
04/27/2013,17:00,1.30344,1.30439,1.29901,1.30293
04/28/2013,17:00,1.30483,1.30671,1.30312,1.30474
04/29/2013,17:00,1.30475,1.31158,1.3042,1.30954
04/30/2013,17:00,1.30955,1.31849,1.30535,1.31626
05/01/2013,17:00,1.31624,1.32421,1.316,1.31673
05/02/2013,17:00,1.31676,1.32171,1.30365,1.3072
05/03/2013,17:00,1.30722,1.31586,1.30323,1.31136
05/04/2013,17:00,1.30722,1.31586,1.30323,1.31136
05/05/2013,17:00,1.31222,1.31402,1.31097,1.31235
05/06/2013,17:00,1.31234,1.31236,1.30529,1.30787
05/07/2013,17:00,1.30788,1.31312,1.30672,1.30898
05/08/2013,17:00,1.30896,1.31935,1.30862,1.3164
05/09/2013,17:00,1.31639,1.31764,1.30097,1.30409
05/10/2013,17:00,1.30414,1.30502,1.29346,1.29897
05/11/2013,17:00,1.30414,1.30502,1.29346,1.29897
05/12/2013,17:00,1.29701,1.29779,1.2959,1.29663
05/13/2013,17:00,1.29664,1.30253,1.29408,1.30068
05/14/2013,17:00,1.30066,1.30283,1.2912,1.29344
05/15/2013,17:00,1.29343,1.29418,1.28425,1.28687
05/16/2013,17:00,1.28688,1.29289,1.28457,1.28578
05/17/2013,17:00,1.28577,1.28885,1.27957,1.28379
05/18/2013,17:00,1.28577,1.28885,1.27957,1.28379
05/19/2013,17:00,1.28417,1.28478,1.28188,1.28419
05/20/2013,17:00,1.28418,1.29032,1.28359,1.28868
05/21/2013,17:00,1.28866,1.29381,1.28407,1.29196
05/22/2013,17:00,1.29194,1.29973,1.28236,1.28474
05/23/2013,17:00,1.28472,1.29561,1.28207,1.29199
05/24/2013,17:00,1.29202,1.29926,1.29099,1.29317
05/25/2013,17:00,1.29202,1.29926,1.29099,1.29317
05/26/2013,17:00,1.29341,1.29438,1.29146,1.29207
05/27/2013,17:00,1.29208,1.29479,1.28834,1.29166
05/28/2013,17:00,1.29165,1.29488,1.28408,1.28549
05/29/2013,17:00,1.2855,1.29767,1.28372,1.29617
05/30/2013,17:00,1.29618,1.30607,1.29409,1.30348
05/31/2013,17:00,1.30347,1.3046,1.29435,1.29976
06/01/2013,17:00,1.30347,1.3046,1.29435,1.29976
06/02/2013,17:00,1.29932,1.30149,1.29841,1.30139
06/03/2013,17:00,1.3014,1.31067,1.29547,1.30569
06/04/2013,17:00,1.30568,1.31007,1.30415,1.30888
06/05/2013,17:00,1.30889,1.3115,1.30525,1.3095
06/06/2013,17:00,1.30949,1.33049,1.30908,1.32558
06/07/2013,17:00,1.32557,1.32844,1.31911,1.32177
06/08/2013,17:00,1.32557,1.32844,1.31911,1.32177
06/09/2013,17:00,1.31912,1.32277,1.3186,1.32006
06/10/2013,17:00,1.32007,1.32911,1.31768,1.32718
06/11/2013,17:00,1.32716,1.33169,1.32316,1.33108
06/12/2013,17:00,1.33107,1.3369,1.32648,1.33545
06/13/2013,17:00,1.33547,1.33894,1.32778,1.33475
06/14/2013,17:00,1.33476,1.3354,1.32941,1.33467
06/15/2013,17:00,1.33476,1.3354,1.32941,1.33467
06/16/2013,17:00,1.33474,1.33567,1.332,1.33205
06/17/2013,17:00,1.33202,1.33807,1.33178,1.33533
06/18/2013,17:00,1.33532,1.3415,1.33251,1.339
06/19/2013,17:00,1.33899,1.34162,1.32529,1.32557
06/20/2013,17:00,1.32552,1.32672,1.31607,1.32357
06/21/2013,17:00,1.32358,1.32488,1.30979,1.31207
06/22/2013,17:00,1.32358,1.32488,1.30979,1.31207
06/23/2013,17:00,1.30908,1.31133,1.30882,1.30983
06/24/2013,17:00,1.30982,1.31434,1.30584,1.3112
06/25/2013,17:00,1.31119,1.31499,1.30561,1.30663
06/26/2013,17:00,1.30658,1.30825,1.29842,1.30282
06/27/2013,17:00,1.30281,1.30742,1.29994,1.30669
06/28/2013,17:00,1.3067,1.31024,1.29907,1.30092
06/29/2013,17:00,1.3067,1.31024,1.29907,1.30092
06/30/2013,17:00,1.3013,1.30248,1.30048,1.30226
07/01/2013,17:00,1.30227,1.30702,1.30133,1.30609
07/02/2013,17:00,1.30612,1.30773,1.29627,1.29717
07/03/2013,17:00,1.29719,1.30313,1.29224,1.29947
07/04/2013,17:00,1.29945,1.30166,1.28825,1.28973
07/05/2013,17:00,1.28974,1.29022,1.28053,1.28294
07/06/2013,17:00,1.28974,1.29022,1.28053,1.28294
07/07/2013,17:00,1.28108,1.28319,1.28106,1.282
07/08/2013,17:00,1.28202,1.28812,1.2811,1.28604
07/09/2013,17:00,1.28606,1.28975,1.27545,1.27777
07/10/2013,17:00,1.27778,1.32053,1.27733,1.31334
07/11/2013,17:00,1.31332,1.31454,1.30051,1.30821
07/12/2013,17:00,1.30822,1.30899,1.29985,1.30666
07/13/2013,17:00,1.30822,1.30899,1.29985,1.30666
07/14/2013,17:00,1.30772,1.30796,1.30524,1.30675
07/15/2013,17:00,1.30676,1.30785,1.29927,1.30687
07/16/2013,17:00,1.30689,1.31736,1.30501,1.31396
07/17/2013,17:00,1.31395,1.31776,1.30825,1.30948
07/18/2013,17:00,1.30949,1.31497,1.30662,1.31353
07/19/2013,17:00,1.31352,1.31537,1.30961,1.31422
07/20/2013,17:00,1.31352,1.31537,1.30961,1.31422
07/21/2013,17:00,1.31382,1.31685,1.31352,1.31549
07/22/2013,17:00,1.31552,1.32174,1.31434,1.31981
07/23/2013,17:00,1.31982,1.3238,1.31628,1.32083
07/24/2013,17:00,1.32082,1.32555,1.31759,1.32044
07/25/2013,17:00,1.32042,1.32952,1.3165,1.3281
07/26/2013,17:00,1.32811,1.32962,1.3252,1.32782
07/27/2013,17:00,1.32811,1.32962,1.3252,1.32782
07/28/2013,17:00,1.32855,1.32932,1.32747,1.32828
07/29/2013,17:00,1.32827,1.32944,1.32385,1.32528
07/30/2013,17:00,1.32526,1.33011,1.32337,1.32547
07/31/2013,17:00,1.32547,1.3344,1.32086,1.32747
08/01/2013,17:00,1.32746,1.32769,1.31889,1.32172
08/02/2013,17:00,1.32173,1.32933,1.31894,1.32794
08/03/2013,17:00,1.32173,1.32933,1.31894,1.32794
08/04/2013,17:00,1.32813,1.32864,1.32627,1.32742
08/05/2013,17:00,1.32743,1.32996,1.32322,1.32615
08/06/2013,17:00,1.32616,1.33223,1.32455,1.3296
08/07/2013,17:00,1.32959,1.33448,1.3265,1.33355
08/08/2013,17:00,1.33353,1.33995,1.3331,1.338
08/09/2013,17:00,1.33799,1.33896,1.33321,1.33417
08/10/2013,17:00,1.33799,1.33896,1.33321,1.33417
08/11/2013,17:00,1.33206,1.33434,1.33169,1.33219
08/12/2013,17:00,1.3322,1.33325,1.32765,1.33089
08/13/2013,17:00,1.33091,1.33162,1.32328,1.32622
08/14/2013,17:00,1.32621,1.331,1.32382,1.32889
08/15/2013,17:00,1.3289,1.33623,1.32051,1.33452
08/16/2013,17:00,1.33454,1.33792,1.33104,1.33281
08/17/2013,17:00,1.33454,1.33792,1.33104,1.33281
08/18/2013,17:00,1.33335,1.3342,1.33206,1.3326
08/19/2013,17:00,1.33259,1.33738,1.33144,1.33493
08/20/2013,17:00,1.33492,1.34513,1.33226,1.34209
08/21/2013,17:00,1.34208,1.34237,1.33307,1.33387
08/22/2013,17:00,1.33388,1.33724,1.32975,1.33482
08/23/2013,17:00,1.33481,1.3409,1.33326,1.33807
08/24/2013,17:00,1.33481,1.3409,1.33326,1.33807
08/25/2013,17:00,1.33846,1.33915,1.33766,1.33819
08/26/2013,17:00,1.33818,1.33935,1.33559,1.33734
08/27/2013,17:00,1.33735,1.3398,1.33223,1.33837
08/28/2013,17:00,1.33838,1.33859,1.33043,1.33362
08/29/2013,17:00,1.33362,1.33369,1.32186,1.32405
08/30/2013,17:00,1.32406,1.32522,1.31732,1.32207
08/31/2013,17:00,1.32406,1.32522,1.31732,1.32207
09/01/2013,17:00,1.32133,1.32146,1.31911,1.32066
09/02/2013,17:00,1.32062,1.32265,1.3183,1.31893
09/03/2013,17:00,1.31892,1.31962,1.31377,1.31653
09/04/2013,17:00,1.31652,1.32172,1.31562,1.319
09/05/2013,17:00,1.31899,1.32223,1.31097,1.31333
09/06/2013,17:00,1.31329,1.31884,1.3104,1.31771
09/07/2013,17:00,1.31329,1.31884,1.3104,1.31771
09/08/2013,17:00,1.31627,1.31807,1.31626,1.31705
09/09/2013,17:00,1.31704,1.328,1.31661,1.32617
09/10/2013,17:00,1.32618,1.32811,1.32296,1.32561
09/11/2013,17:00,1.32563,1.33238,1.32432,1.33196
09/12/2013,17:00,1.33195,1.33242,1.32563,1.32826
09/13/2013,17:00,1.32827,1.33204,1.32533,1.32928
09/14/2013,17:00,1.32827,1.33204,1.32533,1.32928
09/15/2013,17:00,1.33596,1.33812,1.33545,1.33688
09/16/2013,17:00,1.33689,1.33848,1.33245,1.33328
09/17/2013,17:00,1.33327,1.33686,1.33285,1.33511
09/18/2013,17:00,1.33512,1.35412,1.33374,1.35301
09/19/2013,17:00,1.35299,1.35678,1.35086,1.35378
09/20/2013,17:00,1.35377,1.35479,1.34972,1.35232
09/21/2013,17:00,1.35377,1.35479,1.34972,1.35232
09/22/2013,17:00,1.35473,1.35477,1.35195,1.35255
09/23/2013,17:00,1.35256,1.3544,1.34789,1.34934
09/24/2013,17:00,1.34936,1.3518,1.34612,1.34658
09/25/2013,17:00,1.34659,1.35364,1.34637,1.35225
09/26/2013,17:00,1.35222,1.35256,1.34715,1.34789
09/27/2013,17:00,1.34792,1.35636,1.34787,1.35212
09/28/2013,17:00,1.34792,1.35636,1.34787,1.35212
09/29/2013,17:00,1.3493,1.35042,1.34772,1.35025
09/30/2013,17:00,1.35024,1.35553,1.3477,1.3534
10/01/2013,17:00,1.35342,1.35872,1.35068,1.35192
10/02/2013,17:00,1.35194,1.36225,1.35042,1.36046
10/03/2013,17:00,1.36045,1.36453,1.35861,1.36215
10/04/2013,17:00,1.36216,1.36292,1.35378,1.35567
10/05/2013,17:00,1.36216,1.36292,1.35378,1.35567
10/06/2013,17:00,1.35638,1.35735,1.35603,1.35633
10/07/2013,17:00,1.35632,1.35904,1.35419,1.35622
10/08/2013,17:00,1.35621,1.36064,1.35568,1.35654
10/09/2013,17:00,1.35655,1.35683,1.34852,1.34991
10/10/2013,17:00,1.34985,1.35457,1.34869,1.35378
10/11/2013,17:00,1.35379,1.35809,1.35227,1.35417
10/12/2013,17:00,1.35379,1.35809,1.35227,1.35417
10/13/2013,17:00,1.35612,1.35647,1.35503,1.35623
10/14/2013,17:00,1.35622,1.35969,1.35447,1.35619
10/15/2013,17:00,1.35618,1.35703,1.34788,1.35119
10/16/2013,17:00,1.35122,1.35667,1.34721,1.35452
10/17/2013,17:00,1.35453,1.3681,1.35404,1.36634
10/18/2013,17:00,1.36632,1.37032,1.36612,1.36856
10/19/2013,17:00,1.36632,1.37032,1.36612,1.36856
10/20/2013,17:00,1.36832,1.36875,1.36698,1.36735
10/21/2013,17:00,1.36736,1.36878,1.36504,1.36643
10/22/2013,17:00,1.36639,1.37922,1.36637,1.37855
10/23/2013,17:00,1.37854,1.37924,1.37408,1.37884
10/24/2013,17:00,1.37882,1.38245,1.37638,1.38061
10/25/2013,17:00,1.38062,1.38315,1.37739,1.38027
10/26/2013,17:00,1.38062,1.38315,1.37739,1.38027
10/27/2013,17:00,1.38065,1.3817,1.37995,1.38078
10/28/2013,17:00,1.38077,1.38165,1.37687,1.37775
10/29/2013,17:00,1.37771,1.38125,1.37321,1.37352
10/30/2013,17:00,1.37351,1.37843,1.36951,1.37085
10/31/2013,17:00,1.37086,1.37146,1.35389,1.35554
11/01/2013,17:00,1.35555,1.35658,1.34794,1.34862
11/02/2013,17:00,1.35555,1.35658,1.34794,1.34862
11/03/2013,17:00,1.34865,1.35014,1.34418,1.34796
11/04/2013,17:00,1.34797,1.35235,1.34776,1.34964
11/05/2013,17:00,1.34965,1.35207,1.34484,1.35077
11/06/2013,17:00,1.3508,1.35467,1.34874,1.35166
11/07/2013,17:00,1.35167,1.35281,1.32948,1.34079
11/08/2013,17:00,1.34078,1.34371,1.3317,1.33707
11/09/2013,17:00,1.34078,1.34371,1.3317,1.33707
11/10/2013,17:00,1.33562,1.33662,1.33439,1.3362
11/11/2013,17:00,1.33619,1.34153,1.33567,1.33929
11/12/2013,17:00,1.33928,1.34554,1.33585,1.34506
11/13/2013,17:00,1.34507,1.3497,1.33894,1.34669
11/14/2013,17:00,1.34672,1.34882,1.34177,1.34546
11/15/2013,17:00,1.34547,1.35046,1.34317,1.34952
11/16/2013,17:00,1.34547,1.35046,1.34317,1.34952
11/17/2013,17:00,1.34958,1.34981,1.34738,1.34892
11/18/2013,17:00,1.3489,1.3541,1.3486,1.35068
11/19/2013,17:00,1.35069,1.3578,1.34871,1.35501
11/20/2013,17:00,1.35496,1.35524,1.3413,1.34157
11/21/2013,17:00,1.34158,1.34857,1.33987,1.3464
11/22/2013,17:00,1.34642,1.3557,1.3463,1.3556
11/23/2013,17:00,1.34642,1.3557,1.3463,1.3556
11/24/2013,17:00,1.35481,1.35594,1.35386,1.35399
11/25/2013,17:00,1.354,1.35444,1.34895,1.35322
11/26/2013,17:00,1.3532,1.35985,1.35205,1.35938
11/27/2013,17:00,1.35937,1.3612,1.35582,1.35857
11/28/2013,17:00,1.35856,1.36209,1.35677,1.36109
11/29/2013,17:00,1.36112,1.36208,1.35795,1.35896
11/30/2013,17:00,1.36112,1.36208,1.35795,1.35896
12/01/2013,17:00,1.35868,1.36105,1.35808,1.36016
12/02/2013,17:00,1.36022,1.3615,1.35237,1.35363
12/03/2013,17:00,1.35362,1.36129,1.35346,1.35896
12/04/2013,17:00,1.35894,1.36141,1.35276,1.36025
12/05/2013,17:00,1.36026,1.36765,1.35423,1.36633
12/06/2013,17:00,1.3663,1.37056,1.36191,1.37047
12/07/2013,17:00,1.3663,1.37056,1.36191,1.37047
12/08/2013,17:00,1.37143,1.37207,1.37005,1.37065
12/09/2013,17:00,1.37064,1.37665,1.36935,1.37562
12/10/2013,17:00,1.37563,1.3794,1.37396,1.37584
12/11/2013,17:00,1.37582,1.38099,1.37398,1.37925
12/12/2013,17:00,1.37924,1.38025,1.37368,1.37469
12/13/2013,17:00,1.37469,1.37684,1.37089,1.37407
12/14/2013,17:00,1.37469,1.37684,1.37089,1.37407
12/15/2013,17:00,1.37282,1.37605,1.37277,1.37518
12/16/2013,17:00,1.37519,1.37978,1.37388,1.37687
12/17/2013,17:00,1.37688,1.37815,1.37224,1.37736
12/18/2013,17:00,1.37735,1.38109,1.36487,1.36566
12/19/2013,17:00,1.36567,1.36902,1.36312,1.36352
12/20/2013,17:00,1.36353,1.37085,1.36245,1.36706
12/21/2013,17:00,1.36353,1.37085,1.36245,1.36706
12/22/2013,17:00,1.36721,1.36943,1.3666,1.36775
12/23/2013,17:00,1.36772,1.37162,1.36728,1.36792
12/24/2013,17:00,1.3679,1.36892,1.36542,1.3681
12/25/2013,17:00,1.3679,1.36892,1.36542,1.3681
12/26/2013,17:00,1.36884,1.37446,1.36793,1.37365
12/27/2013,17:00,1.37367,1.38922,1.37308,1.37477
12/28/2013,17:00,1.37367,1.38922,1.37308,1.37477
12/29/2013,17:00,1.37563,1.37689,1.37332,1.37408
12/30/2013,17:00,1.37406,1.38183,1.37276,1.37984
12/31/2013,17:00,1.37983,1.37985,1.37435,1.37574
01/01/2014,17:00,1.37615,1.37744,1.37402,1.37452
01/02/2014,17:00,1.3745,1.37579,1.36289,1.36625
01/03/2014,17:00,1.36626,1.36645,1.35816,1.35882
01/04/2014,17:00,1.36626,1.36645,1.35816,1.35882
01/05/2014,17:00,1.35933,1.36002,1.35778,1.35818
01/06/2014,17:00,1.3582,1.36523,1.35706,1.36237
01/07/2014,17:00,1.36236,1.36555,1.35961,1.36313
01/08/2014,17:00,1.36312,1.36342,1.35528,1.35784
01/09/2014,17:00,1.35782,1.36322,1.35479,1.3612
01/10/2014,17:00,1.36115,1.36865,1.35686,1.36687
01/11/2014,17:00,1.36115,1.36865,1.35686,1.36687
01/12/2014,17:00,1.36779,1.3684,1.36609,1.36784
01/13/2014,17:00,1.36782,1.36804,1.36367,1.36645
01/14/2014,17:00,1.36648,1.36986,1.36266,1.36329
01/15/2014,17:00,1.36328,1.36442,1.35807,1.36214
01/16/2014,17:00,1.36212,1.36489,1.35823,1.36124
01/17/2014,17:00,1.36122,1.36204,1.35163,1.35403
