,Date,Time,Open,High,Low,Close,ma,ema
61,04/01/2017,15:40,1.04727,1.04732,1.04713,1.04718,1.0443995161290323,1.044211612903226
62,04/01/2017,16:40,1.04906,1.04906,1.04895,1.04896,1.044473492063492,1.044704603174603
63,04/01/2017,17:40,1.04865,1.04869,1.04857,1.04857,1.0445393749999998,1.044363125
64,04/01/2017,18:40,1.04821,1.04839,1.04805,1.04839,1.0445986153846152,1.0448272307692308
65,04/01/2017,19:40,1.05221,1.0524,1.0522,1.05239,1.044716818181818,1.0444851515151516
66,04/01/2017,20:40,1.05134,1.05145,1.05133,1.05142,1.0448173134328358,1.0450532835820896
67,04/01/2017,21:40,1.05121,1.05144,1.05121,1.05144,1.044914705882353,1.0446900000000001
68,04/01/2017,22:40,1.0519,1.052,1.05185,1.05194,1.045017391304348,1.0452384057971016
69,04/01/2017,23:40,1.05225,1.0523,1.05223,1.0523,1.0451214285714285,1.0448988571428572
70,05/01/2017,00:40,1.05534,1.05537,1.0552,1.0552,1.0452657746478873,1.045437323943662
71,05/01/2017,01:40,1.05721,1.05746,1.05711,1.05731,1.045435138888889,1.0451897222222224
72,05/01/2017,02:40,1.0555,1.05552,1.05522,1.05551,1.045573287671233,1.0457667123287673
73,05/01/2017,03:40,1.05175,1.05175,1.05152,1.05155,1.0456567567567567,1.0454689189189192
74,05/01/2017,04:40,1.05108,1.05144,1.05108,1.05111,1.0457338666666667,1.0459262666666669
75,05/01/2017,05:40,1.05035,1.05039,1.04996,1.04997,1.0457951315789473,1.0456260526315793
76,05/01/2017,06:40,1.04961,1.04983,1.04958,1.0498,1.0458475324675325,1.046042207792208
77,05/01/2017,07:40,1.05128,1.05128,1.05099,1.05099,1.0459171794871795,1.0457338461538466
78,05/01/2017,08:40,1.05332,1.05355,1.05319,1.05328,1.0460137974683545,1.0461748101265824
79,05/01/2017,09:40,1.05368,1.05428,1.05363,1.05425,1.046117125,1.0459292500000004
80,05/01/2017,10:40,1.0579,1.0583,1.05759,1.05811,1.0462675308641978,1.046374938271605
81,05/01/2017,11:40,1.0601,1.06049,1.06001,1.06049,1.0464409756097564,1.0462309756097565
82,05/01/2017,12:40,1.05995,1.05997,1.05977,1.05993,1.0466039759036148,1.046715060240964
83,05/01/2017,13:40,1.05944,1.05946,1.05924,1.05929,1.046757023809524,1.0465580952380955
84,05/01/2017,14:40,1.05993,1.05997,1.05979,1.05996,1.0469124705882356,1.0470149411764709
85,05/01/2017,15:40,1.05966,1.05966,1.05951,1.05956,1.0470606976744188,1.0468700000000002
86,05/01/2017,16:40,1.0608,1.06088,1.06078,1.06078,1.0472195402298854,1.0473056321839083
87,05/01/2017,17:40,1.06054,1.06055,1.06019,1.06055,1.047371022727273,1.0471884090909094
88,05/01/2017,18:40,1.06043,1.06079,1.06043,1.06079,1.0475217977528093,1.0476032584269666
89,05/01/2017,19:40,1.05881,1.05882,1.05859,1.05865,1.0476473333333336,1.0474906666666668
90,05/01/2017,20:40,1.05848,1.0586,1.0584,1.0584,1.0477676923076926,1.0478497802197804
91,05/01/2017,21:40,1.0593,1.05931,1.0592,1.0593,1.0478931521739132,1.0477321739130436
92,05/01/2017,22:40,1.05836,1.05837,1.0582,1.05826,1.0480058064516131,1.0480962365591397
93,05/01/2017,23:40,1.05882,1.05885,1.05871,1.05878,1.0481211702127662,1.047958510638298
94,06/01/2017,00:40,1.05796,1.05799,1.05795,1.05796,1.0482250526315793,1.0483226315789473
95,06/01/2017,01:40,1.05829,1.05829,1.05814,1.05814,1.0483298958333336,1.0481675000000001
96,06/01/2017,02:40,1.05856,1.05859,1.05845,1.0585,1.048435670103093,1.0485281443298968
97,06/01/2017,03:40,1.05889,1.0589,1.0587,1.0587,1.048542448979592,1.0483802040816328
98,06/01/2017,04:40,1.0603,1.06061,1.0603,1.06057,1.0486643434343434,1.0487376767676766
99,06/01/2017,05:40,1.05949,1.05956,1.05938,1.05956,1.0487733000000001,1.0486248
100,06/01/2017,06:40,1.05928,1.05933,1.0591,1.0591,1.0488778217821784,1.0489519801980196
101,06/01/2017,07:40,1.05749,1.05758,1.05721,1.05728,1.0489631372549022,1.0488347058823528
102,06/01/2017,08:40,1.05708,1.05708,1.05553,1.05643,1.049041941747573,1.0491195145631067
103,06/01/2017,09:40,1.05538,1.05583,1.05534,1.05582,1.0491072115384616,1.048993269230769
104,06/01/2017,10:40,1.05713,1.05717,1.05686,1.05709,1.0491840000000001,1.0492473333333332
105,06/01/2017,11:40,1.05613,1.05633,1.05605,1.05605,1.0492514150943397,1.0491475471698113
106,06/01/2017,12:40,1.05416,1.05425,1.05403,1.05408,1.0492981308411216,1.0493797196261683
107,06/01/2017,13:40,1.05356,1.05383,1.0535,1.05383,1.0493400925925929,1.049242037037037
108,06/01/2017,14:40,1.05264,1.05284,1.05264,1.05283,1.0493722018348626,1.049461376146789
109,06/01/2017,15:41,1.05321,1.05322,1.05321,1.05322,1.049407181818182,1.0493074545454546
110,06/01/2017,16:41,1.0531,1.0531,1.05299,1.05301,1.0494404504504506,1.049529099099099
111,08/01/2017,17:45,1.05306,1.05306,1.05306,1.05306,1.0494727678571432,1.0493751785714287
112,08/01/2017,18:45,1.05302,1.05302,1.05289,1.05295,1.0495041592920356,1.0495915929203539
113,08/01/2017,19:45,1.05278,1.05285,1.05268,1.05281,1.0495335087719302,1.0494391228070177
114,08/01/2017,20:45,1.05365,1.054,1.05365,1.05399,1.0495723478260872,1.049648260869565
115,08/01/2017,21:45,1.0535,1.05357,1.0535,1.05357,1.049606810344828,1.0495177586206896
116,08/01/2017,22:45,1.05282,1.05286,1.05277,1.05282,1.0496346153846157,1.0497152991452987
117,08/01/2017,23:45,1.05271,1.05275,1.05267,1.05275,1.0496610169491527,1.049574406779661
118,09/01/2017,00:45,1.05247,1.05256,1.05237,1.05249,1.0496853781512607,1.049766302521008
119,09/01/2017,01:45,1.05269,1.0529,1.05266,1.05279,1.049712166666667,1.0496241666666668
120,09/01/2017,02:45,1.05303,1.05321,1.05303,1.05318,1.0497410743801654,1.0498180991735533
121,09/01/2017,03:45,1.05453,1.05457,1.05442,1.05451,1.0497806557377052,1.0496829508196723
122,09/01/2017,04:45,1.05325,1.05325,1.05247,1.05274,1.049808861788618,1.0498953658536583
123,09/01/2017,05:45,1.05162,1.05185,1.05162,1.0518,1.0498253225806453,1.0497404838709679
124,09/01/2017,06:45,1.05234,1.05255,1.05225,1.0524,1.0498471200000001,1.0499266399999998
125,09/01/2017,07:45,1.05265,1.05266,1.05255,1.05255,1.0498694444444445,1.0497850793650796
126,09/01/2017,08:45,1.05366,1.05377,1.05351,1.05354,1.0499001574803153,1.04996968503937
127,09/01/2017,09:45,1.05363,1.05382,1.05362,1.05362,1.0499307812500003,1.0498473437500002
128,09/01/2017,10:45,1.05534,1.05556,1.0553,1.05535,1.0499744186046516,1.0500293798449611
129,09/01/2017,11:45,1.058,1.05803,1.05786,1.05786,1.050036384615385,1.049935230769231
130,09/01/2017,12:45,1.05651,1.0566,1.05643,1.05651,1.0500864885496188,1.050151526717557
131,09/01/2017,13:45,1.05671,1.05681,1.05668,1.05679,1.0501374242424248,1.0500362121212121
132,09/01/2017,14:45,1.05705,1.05706,1.0567,1.0567,1.050189473684211,1.0502516541353382
133,09/01/2017,15:45,1.05691,1.05705,1.05688,1.05703,1.0502406716417916,1.0501410447761192
134,09/01/2017,16:45,1.05733,1.05733,1.05733,1.05733,1.0502931851851858,1.05035237037037
135,09/01/2017,17:45,1.05837,1.05863,1.05837,1.05849,1.0503544852941182,1.0502467647058822
136,09/01/2017,18:45,1.05868,1.05869,1.05865,1.05868,1.050415328467154,1.0504732116788318
137,09/01/2017,19:45,1.05901,1.05913,1.05888,1.05888,1.0504784782608703,1.0503691304347824
138,09/01/2017,20:45,1.05861,1.05874,1.05861,1.05871,1.0505379136690656,1.0505977697841722
139,09/01/2017,21:45,1.06018,1.06074,1.06007,1.06071,1.0506107857142866,1.050488714285714
140,09/01/2017,22:45,1.06217,1.0624,1.06208,1.06228,1.0506943971631213,1.0507416312056732
141,09/01/2017,23:45,1.06129,1.06134,1.06115,1.06119,1.050769366197184,1.0506564788732393
142,10/01/2017,00:45,1.06063,1.06063,1.06037,1.06054,1.0508383216783226,1.0508898601398595
143,10/01/2017,01:45,1.06059,1.06063,1.06049,1.06049,1.0509063194444452,1.050795
144,10/01/2017,02:45,1.05939,1.05963,1.05939,1.05963,1.0509664827586216,1.0510242068965512
145,10/01/2017,03:45,1.0597,1.05973,1.05929,1.05951,1.0510265068493159,1.0509160273972602
146,10/01/2017,04:45,1.0598,1.06006,1.0598,1.05987,1.0510879591836741,1.051142653061224
147,10/01/2017,05:45,1.05847,1.05858,1.05846,1.05851,1.0511385810810818,1.0510395945945947
148,10/01/2017,06:45,1.05818,1.05836,1.05817,1.05831,1.0511870469798665,1.0512424832214762
149,10/01/2017,07:45,1.05669,1.05673,1.05662,1.05666,1.0512240000000006,1.0511372
150,10/01/2017,08:45,1.05657,1.05657,1.05647,1.05651,1.0512594039735106,1.0513151655629138
151,10/01/2017,09:45,1.05942,1.05971,1.05933,1.05945,1.0513150000000007,1.0512086842105264
152,10/01/2017,10:45,1.05807,1.05826,1.05798,1.0582,1.0513603921568633,1.0514249019607844
153,10/01/2017,11:45,1.05756,1.05764,1.05749,1.05754,1.0514011688311693,1.0513002597402596
154,10/01/2017,12:45,1.05525,1.05534,1.05523,1.0553,1.0514265806451617,1.0515050967741937
155,10/01/2017,13:45,1.05626,1.0563,1.05619,1.05619,1.0514578205128209,1.0513520512820513
156,10/01/2017,14:45,1.05575,1.05575,1.05553,1.0556,1.051485159235669,1.0515661783439492
157,10/01/2017,15:45,1.05602,1.05602,1.05594,1.05594,1.051513860759494,1.0514077215189874
158,10/01/2017,16:45,1.05571,1.05571,1.05566,1.05566,1.0515402515723273,1.0516222012578618
159,10/01/2017,17:45,1.05572,1.05587,1.05569,1.05581,1.0515673125000002,1.0514615
160,10/01/2017,18:45,1.05537,1.05543,1.05537,1.05541,1.0515913043478264,1.0516749689440994
161,10/01/2017,19:45,1.05611,1.05611,1.05577,1.05597,1.0516191975308644,1.0515104938271607
